매입품목명,라인수,금액,items후보(참고),최종지정코드(빈칸=기타)
알마이트2T [1220*2420],1,380000,UV-ALM-2T-S:UV 알마이트 2T 은색 / ALM-2T-S-48:알마이트,
알마이트2T(백색),1,380000,UV-ALM-2T-S:UV 알마이트 2T 은색 / ALM-2T-S-48:알마이트,
19각 파이프,4,372000,,
솔벤 텐트천(300D) [200폭],1,369000,TENT-090:텐트천 / TENT-127:텐트천,
아일렛(하도매) [24호/은색],2,366000,ACC-045-5-S:아일렛 5호 은 / ACC-045-5-G:아일렛 5호 금,
솔벤 텐트천(300D) [250폭],1,364200,TENT-090:텐트천 / TENT-127:텐트천,
큐방-원터치 [40￠/1봉(250개)],2,350000,ACC-047-OT:큐방 원터치 40파이,
실외용 철제배너-TSO(브랏켓형) [60*180],2,342000,,
광확산PC1.8T [4*8],1,335000,PC-2T-M-48:광확산PC / PC-3T-M-48:광확산PC,
채널용 입체바 [백색/100mm*3m],1,320000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
LED투광기-백색/백색 [35W],1,315000,SGM-LEDF-F28D:LED형광등 28W양면돌출 / SGM-LEDF-F20S:LED형광등 20W단면,
포인트원형돌출 [500Φ],2,308000,SGM-PRND-D500:포인트원형돌출 500Φ / SGM-PRND-D600:포인트원형돌출 600Φ,
깃발천-S [70폭],2,302400,,
사각족자봉,2,300000,ACC-049-SQ:족자봉 사각 85~150cm / ACC-049-CR:족자봉 원형 85~150cm,
채널 보강대,1,294000,SGM-CRF:채널 보강대 / SGM-CSP:채널 지지대,
솔밴매쉬-배너 [127폭],2,291607,MESH-127:매쉬 / MESH-160:매쉬,
채널용 입체바 [녹색/80mm*3m],1,288000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
채널용 입체바 [주황색/80mm*3m],2,288000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
