매입품목명,라인수,금액,상태,매칭코드/제안,items명,최종지정코드(빈칸=수정)
PVC(켈) 그레이-프라임 [127폭],1,1500000,미매칭,PJ-KELGR-P60,PVC(켈) 그레이-프라임 60폭 (후보),
SPP031M [150폭],8,1494700,폭불일치-확인,SPP031M-090,무광코팅지 SPP031M,
PVC(켈)(30m)-호홍 [90폭],5,1480600,미매칭,KEL-060,켈 30M 호홍 (후보),
무광코팅지 일반엠보(45m/180g) [127폭],1,1470000,미매칭,HJ-MGILBO-P60,무광코팅지 일반엠보(45m/180g) 60폭 (후보),
현수막 1코팅-S [45폭],4,1457560,정확(폭),AQ1-045,수성 현수막원단 1코팅,
트러스바 [400mm*7m/검정],2,1455000,미매칭,SGM-TRW-BK,트러스바 날개 흑색 (후보),
수성-현수막(장폭) [250폭],1,1449000,미매칭,AQ-BANNER,수성 현수막 (후보),
채널용 입체바 [흑색/80mm*3m],3,1440000,미매칭,,,
솔벤 현수막-TPM [152폭],2,1435500,미매칭,SV-BANNER,솔벤 현수막 (후보),
SPP031M [90폭],6,1413280,정확(코드),SPP031M-090,무광코팅지 SPP031M,
무광 코팅지 자동용(61m/120g)-호홍 [60폭],3,1404400,미매칭,,,
현수막 2코팅-S [140폭],4,1399280,정확(폭),AQ2-140,수성 현수막원단 2코팅,
PVC(켈)-프라임 [127폭],1,1395000,미매칭,PJ-KEL-P60,PVC(켈)-프라임 60폭 (후보),
LD59THG [137폭],4,1368960,미매칭,,,
수성잉크 C-peb,1,1344000,미매칭,,,
현수막 1코팅-S [130폭],3,1330600,정확(폭),AQ1-130,수성 현수막원단 1코팅,
5mm볼로프,1,1240000,미매칭,,,
PVC(켈) 그레이(30m)-호홍 [127폭],3,1235500,미매칭,KELG-060,켈그레이 30M 호홍 (후보),
EP115 [122폭],7,1186040,폭불일치-확인,EP115-100,엠보시트 EP115,
현수막 1코팅-S [50폭],4,1130870,정확(폭),AQ1-050,수성 현수막원단 1코팅,
SPM011G [150폭],7,1109340,폭불일치-확인,SPM011G-090,일반시트 SPM011G,
패트배너(30m)-호홍 [152폭],4,1094850,미매칭,PAT-060,패트배너 30M 호홍 (후보),
솔벤 현수막-TPM [200폭],1,1088820,미매칭,SV-BANNER,솔벤 현수막 (후보),
현수막 1코팅-S [140폭],3,1062000,정확(폭),AQ1-140,수성 현수막원단 1코팅,
패트배너(30m)-호홍 [60폭],4,1006200,미매칭,PAT-060,패트배너 30M 호홍 (후보),
SPC031G [127폭],5,999450,폭불일치-확인,SPC031G-105,투명시트 SPC031G,
알마이트2T-검정 [4*8],1,990000,미매칭,ALM-2T-S-48,알마이트 (후보),
합성지-프라임 [127폭],1,975000,미매칭,PJ-HAP-P60,합성지-프라임 60폭 (후보),
채널용 입체바 [백색/80mm*3m],2,960000,미매칭,,,
부직포-S [127폭],4,888000,미매칭,BUJIK-060,부직포 (후보),
LED형광등 [20w-웜(전구색)],2,880000,미매칭,SGM-LEDF-F28D,LED형광등 28W양면돌출 (후보),
LC6772G [122폭/50m],1,879950,정확(코드),LC6770P,조명시트 LC6770P,
PVC(켈)(30m)-잉크테크 [127폭],1,855000,미매칭,,,
트러스바 [200mm*7m/백색],2,850000,미매칭,SGM-TRW-BK,트러스바 날개 흑색 (후보),
수성-현수막(장폭) [320폭],1,848300,미매칭,AQ-BANNER,수성 현수막 (후보),
사각족자봉 [3m],1,847000,미매칭,,,
SPM022G [105폭],6,819750,정확(코드),SPM022G-105,그레이시트 SPM022G,
솔벤 현수막-TPM [50폭],1,819000,미매칭,SV-BANNER,솔벤 현수막 (후보),
EP115 [100폭],4,788340,정확(코드),EP115-100,엠보시트 EP115,
SPP031G [127폭],6,785940,폭불일치-확인,SPP031G-090,유광코팅지 SPP031G,
15각 파이프,4,770000,미매칭,,,
수성잉크 K-peb,1,768000,미매칭,,,
알마이트2T(단면/백색) [1220*2420],1,760000,미매칭,ALM-2T-S-48,알마이트 (후보),
알마이트2T-백색 [4*8],1,760000,미매칭,ALM-2T-S-48,알마이트 (후보),
트러스바 [300mm*7m/검정],1,721200,미매칭,SGM-TRW-BK,트러스바 날개 흑색 (후보),
트러스바 [300mm*7m/연회색],1,721200,미매칭,SGM-TRW-BK,트러스바 날개 흑색 (후보),
타카핀 [4mm],1,720000,미매칭,SGM-TACK-T4,타카핀 4mm (후보),
패트배너-프라임 [127폭],1,710000,미매칭,PJ-PAT-P60,패트배너-프라임 60폭 (후보),
패트배너-프라임 [60폭],1,710000,미매칭,PJ-PAT-P60,패트배너-프라임 60폭 (후보),
현수막 1코팅-S [40폭],4,703400,정확(폭),AQ1-040,수성 현수막원단 1코팅,
수성잉크 K(ITP-개별포장),1,691200,미매칭,,,
현수막 2코팅-S [40폭],4,681880,정확(폭),AQ2-040,수성 현수막원단 2코팅,
광확산PC1.8T,1,670000,미매칭,PC-2T-M-48,광확산PC (후보),
알마이트2T(단면/검정) [1220*2420],1,660000,미매칭,ALM-2T-S-48,알마이트 (후보),
채널용 캡바 [흑색/25mm*3m],4,656000,미매칭,,,
물본드,3,640000,미매칭,SGM-BOND,물본드 (후보),
SPM011G [137폭],4,634950,폭불일치-확인,SPM011G-090,일반시트 SPM011G,
SPP031M [137폭],4,620390,폭불일치-확인,SPP031M-090,무광코팅지 SPP031M,
PVC(켈) 그레이(30m)-호홍 [90폭],3,614200,미매칭,KELG-060,켈그레이 30M 호홍 (후보),
수성잉크 C [20L],2,600000,미매칭,,,
수성잉크 M [20L],2,600000,미매칭,,,
수성잉크 Y [20L],2,600000,미매칭,,,
합성지 그레이(30m)-호홍 [152폭],2,595000,미매칭,SYNG-060,합성지그레이 30M 호홍 (후보),
솔벤패트배너-나투라(6롤중 2롤은 635cm로 재단부탁드립니다.) [127폭/30m],1,588000,미매칭,SV-PATB,솔벤 패트배너 (후보),
PVC(켈)(30m)-호홍 [152폭],2,581100,미매칭,KEL-060,켈 30M 호홍 (후보),
E26T 유광(45m/200g) [127폭],1,577500,미매칭,JG-E26T-P60,E26T 유광(45m/200g) 60폭 (후보),
현수막 2코팅-S [137폭],1,576200,정확(폭),AQ2-137,수성 현수막원단 2코팅,
수성잉크 LC(ITP-개별포장),1,576000,미매칭,,,
수성잉크 LM(ITP-개별포장),1,576000,미매칭,,,
저밀도 현수막-S [70폭],1,561000,폭미등록,AQD-070(미등록),,
LG조명용시트(켈/LA9423NH) [1220mm],1,550000,미매칭,,,
수성잉크 K,1,540000,미매칭,,,
외부용 SMPS(방수) [500wt],2,540000,미매칭,SGM-SMPS-W200,외부용 SMPS(방수) 200wt (후보),
외부용 SMPS(방수) [400wt],2,530000,미매칭,SGM-SMPS-W200,외부용 SMPS(방수) 200wt (후보),
하바 [검정],1,524000,미매칭,,,
솔벤패트배너-나투라 [127폭/30m],3,517000,미매칭,SV-PATB,솔벤 패트배너 (후보),
양면코팅지(50m) [127폭],2,514500,미매칭,,,
무광코팅지 일반엠보(45m/180g) [60폭],1,510000,미매칭,HJ-MGILBO-P60,무광코팅지 일반엠보(45m/180g) 60폭 (후보),
포맥스-중국산 [4*8(3T)],3,502800,미매칭,FMX-2T-W-36,포맥스 (후보),
판형 삼각접착고리 [12Ø],2,495000,미매칭,,,
원형나무 [90폭(20mm)],12,493250,미매칭,WDR-01,원형나무 (후보),
채널용 캡바 [백색/25mm*3m],4,492000,미매칭,,,
솔벤 현수막-TPM [40폭],1,491400,미매칭,SV-BANNER,솔벤 현수막 (후보),
솔벤 텐트천(300D) [320폭],1,478800,미매칭,TENT-090,텐트천 (후보),
포맥스-중국산 [4*8(5T)],3,478080,미매칭,FMX-2T-W-36,포맥스 (후보),
합성지(30m)-호홍 [90폭],4,473400,미매칭,SYN-060,합성지 30M 호홍 (후보),
SPM011G [90폭],2,457140,정확(코드),SPM011G-090,일반시트 SPM011G,
LED 2P 전선 [100m],2,446000,미매칭,SGM-LEDW,LED 2P 전선 (후보),
친환경 현수막-TPM [152폭],2,440000,애매(폭없음/대표),ECB,,
부직포-S [90폭],3,432000,미매칭,BUJIK-060,부직포 (후보),
무광 코팅지 자동용(45m/180g)-호홍 [90폭],2,430000,미매칭,,,
SPT031M [137폭],2,427720,정확(코드),SPT031M,조명시트 SPT031M,
E4 엠보 무광(45m/200g) [60폭],1,427000,미매칭,JG-E4-P60,E4 엠보 무광(45m/200g) 60폭 (후보),
친환경 현수막-TPM [127폭],2,422400,애매(폭없음/대표),ECB,,
LT4510 [122폭],1,421200,정확(코드),LT4510,조명시트 LT4510,
판형 삼각접착고리 [무펀치],2,420000,미매칭,,,
PVC(켈) 그레이-프라임 [90폭],1,410000,미매칭,PJ-KELGR-P60,PVC(켈) 그레이-프라임 60폭 (후보),
수성잉크 K [20L],2,400000,미매칭,,,
현수막 2코팅-S [105폭],1,396800,정확(폭),AQ2-105,수성 현수막원단 2코팅,
솔벤 현수막-TPM(고급형) [152폭],1,396000,미매칭,SV-BANNER,솔벤 현수막 (후보),
알마이트2T-검정 [3*6],1,396000,미매칭,ALM-2T-S-48,알마이트 (후보),
솔벤용 코팅지-50m [127폭],1,394000,미매칭,,,
타카핀 [6mm],1,390000,미매칭,SGM-TACK-T4,타카핀 4mm (후보),
LC2000 [100폭],3,386280,정확(코드),LC2000-100,보조시트 LC2000,
LC6770P [122폭/50m],2,386220,정확(코드),LC6770P,조명시트 LC6770P,
알루미늄판-백색 [3*6],2,384000,미매칭,SGM-ALP,알루미늄판 (후보),
트러스바 날개 [검정],1,380400,미매칭,SGM-TRW-BK,트러스바 날개 흑색 (후보),
알마이트2T,1,380000,미매칭,UV-ALM-2T-S,UV 알마이트 2T 은색 (후보),
알마이트2T [1220*2420],1,380000,미매칭,UV-ALM-2T-S,UV 알마이트 2T 은색 (후보),
알마이트2T(백색),1,380000,미매칭,ALM-2T-S-48,알마이트 (후보),
현수막 1코팅-S [105폭],1,379900,정확(폭),AQ1-105,수성 현수막원단 1코팅,
친환경 현수막-TPM [90폭],3,372400,애매(폭없음/대표),ECB,,
19각 파이프,4,372000,미매칭,,,
솔벤 텐트천(300D) [200폭],1,369000,미매칭,TENT-090,텐트천 (후보),
아일렛(하도매) [24호/은색],2,366000,미매칭,,,
솔벤 텐트천(300D) [250폭],1,364200,미매칭,TENT-090,텐트천 (후보),
큐방-원터치 [40￠/1봉(250개)],2,350000,미매칭,ACC-047-OT,큐방 원터치 40파이 (후보),
실외용 철제배너-TSO(브랏켓형) [60*180],2,342000,미매칭,,,
SPE032G [137폭],1,339300,정확(코드),SPE032G-137,조명 리무브시트 SPE032G,
광확산PC1.8T [4*8],1,335000,미매칭,PC-2T-M-48,광확산PC (후보),
채널용 입체바 [백색/100mm*3m],1,320000,미매칭,,,
LED투광기-백색/백색 [35W],1,315000,미매칭,SGM-LEDP-WW,LED투광기 백색/백색 (후보),
포인트원형돌출 [500Φ],2,308000,미매칭,SGM-PRND-D500,포인트원형돌출 500Φ (후보),
솔벤 현수막-TPM [60폭],1,305500,미매칭,SV-BANNER,솔벤 현수막 (후보),
깃발천-S [70폭],2,302400,미매칭,,,
사각족자봉,2,300000,미매칭,,,
채널 보강대,1,294000,미매칭,SGM-CRF,채널 보강대 (후보),
현수막 2코팅-S [106폭],1,292500,폭미등록,AQ2-106(미등록),,
솔밴매쉬-배너 [127폭],2,291607,미매칭,MESH-127,매쉬 (후보),
합성지-프라임 [90폭],1,290000,미매칭,PJ-HAP-P60,합성지-프라임 60폭 (후보),
채널용 입체바 [녹색/80mm*3m],1,288000,미매칭,,,
채널용 입체바 [주황색/80mm*3m],2,288000,미매칭,,,
채널용 입체바 [진청색/80mm*3m],1,288000,미매칭,,,
채널용 입체바 [황색/80mm*3m],2,288000,미매칭,,,
스텐원형돌출 [500Φ],2,285000,미매칭,SGM-SRND-D500,스텐원형돌출 500Φ (후보),
부직포 [180폭],2,282000,미매칭,BUJIK-060,부직포 (후보),
LM5400(보급형) [137폭],1,279830,미매칭,,,
솔벤매쉬-배너 [60폭/50m],1,279400,미매칭,MESH-127,매쉬 (후보),
E4 엠보 무광(45m/200g) [90폭],1,273000,미매칭,JG-E4-P60,E4 엠보 무광(45m/200g) 60폭 (후보),
외부용 SMPS(방수) [200wt],1,270000,미매칭,SGM-SMPS-W200,외부용 SMPS(방수) 200wt (후보),
무광 코팅지 자동용(45m/120g)-호홍 [90폭],2,268160,미매칭,,,
윈드배너 물통형-SET(소) [76*180],3,266000,미매칭,,,
솔벤 현수막-TPM [127폭],1,264000,미매칭,SV-BANNER,솔벤 현수막 (후보),
미러천 [90폭],1,262500,미매칭,,,
E4 엠보 무광(45m/200g) [152폭],1,259600,미매칭,JG-E4-P60,E4 엠보 무광(45m/200g) 60폭 (후보),
부직포 [150폭],2,257400,미매칭,BUJIK-060,부직포 (후보),
부직포-S [60폭],2,255000,미매칭,BUJIK-060,부직포 (후보),
저밀도 현수막-S [40폭],1,255000,폭미등록,AQD-040(미등록),,
수성잉크 C [5L],2,250000,미매칭,,,
수성잉크 M [5L],2,250000,미매칭,,,
수성잉크 Y [5L],2,250000,미매칭,,,
채널용 캡바 [진청색/25mm*3m],3,246000,미매칭,,,
솔벤 현수막 [152폭],1,244200,미매칭,SV-BANNER,솔벤 현수막 (후보),
무광코팅지 일반엠보(45m/180g) [90폭],1,243000,미매칭,HJ-MGILBO-P60,무광코팅지 일반엠보(45m/180g) 60폭 (후보),
PVC(켈)-프라임 [90폭],1,234000,미매칭,PJ-KEL-P60,PVC(켈)-프라임 60폭 (후보),
카바 [검정],1,232000,미매칭,,,
원형족자봉 [16Ø],1,231000,미매칭,,,
용달운임,2,220000,미매칭,,,
3.5mm재단로프 [1마대800개/총200m],2,210000,미매칭,ACC-038,재단로프 (후보),
포맥스-중국산 [4*8(10T)],1,210000,미매칭,FMX-2T-W-36,포맥스 (후보),
합성지(30m)-호홍 [152폭],1,204000,미매칭,SYN-060,합성지 30M 호홍 (후보),
수성잉크 K [5L],2,200000,미매칭,,,
합성지-프라임 [60폭],1,195000,미매칭,PJ-HAP-P60,합성지-프라임 60폭 (후보),
블랙아웃 패트 [127],1,194000,미매칭,,,
채널용 입체바 [밤색/80mm*3m],2,192000,미매칭,,,
채널용 입체바 [연청색/80mm*3m],1,192000,미매칭,,,
채널용 입체바 [진핑크/80mm*3m],1,192000,미매칭,,,
채널용 입체바 [진회색/80mm*3m],1,192000,미매칭,,,
아일렛(하도매) 1마대 [24호/은색],1,183000,미매칭,,,
상코너,3,180000,미매칭,SGM-SC,상코너 (후보),
싸인탑날개 [1box-200ea],3,180000,미매칭,SGM-STW,싸인탑날개 (후보),
솔벤 현수막-TPM(S150 고급형) [152폭],1,178800,미매칭,SV-BANNER,솔벤 현수막 (후보),
실내용 철제배너-TS [50*150],1,176000,미매칭,,,
까치발 [900mm],1,172800,미매칭,ACC-029-BK,까치발 흑색 (후보),
채널용 캡바 [주황색/25mm*3m],2,164000,미매칭,,,
양면코팅지(30m) [127폭],1,162000,미매칭,JG-A26-P90,A26 양면코팅지(30m) 90폭 (후보),
솔벤 캠퍼스 [127폭/20m],1,158000,미매칭,,,
LED투광기-검정색/백색 [35W],1,157500,미매칭,,,
LED투광기-백색/웜 [35W],1,157500,미매칭,SGM-LEDP-WM,LED투광기 백색/웜 (후보),
합성지 그레이-프라임 [127폭],1,154000,미매칭,PJ-HAPGR-P60,합성지 그레이-프라임 60폭 (후보),
솔벤 현수막-TPM [80폭],1,153000,미매칭,SV-BANNER,솔벤 현수막 (후보),
스카시20T-검정 [3*6],2,149500,미매칭,UV-SKS-20T-B,UV 스카시 20T 검정 (후보),
발통 [500mm],1,148680,미매칭,,,
합성지(30m)-호홍 [60폭],1,145620,미매칭,SYN-060,합성지 30M 호홍 (후보),
LW2800M [137폭],1,145280,정확(코드),LW2800M,조명시트 LW2800M,
LED형광등 [28w-양면(60cm)],1,145000,미매칭,SGM-LEDF-F28D,LED형광등 28W양면돌출 (후보),
스카시10T-검정 [3*6],2,142090,미매칭,UV-SKS-10T-B,UV 스카시 10T 검정 (후보),
아일렛(하도매) [9호/은색],3,142000,미매칭,,,
까치발 [1200mm],1,140100,미매칭,ACC-029-BK,까치발 흑색 (후보),
족자봉 쫄대 [5mm],1,140000,미매칭,,,
포인트원형돌출 [600Φ],1,136500,미매칭,SGM-PRND-D500,포인트원형돌출 500Φ (후보),
트러스바 [150mm*7m/연회색],1,126800,미매칭,SGM-TRW-BK,트러스바 날개 흑색 (후보),
까치발 [1000mm],2,123900,미매칭,ACC-029-BK,까치발 흑색 (후보),
패트배너-프라임 [90폭],1,122000,미매칭,PJ-PAT-P60,패트배너-프라임 60폭 (후보),
SPP031G [137폭],1,118600,폭불일치-확인,SPP031G-090,유광코팅지 SPP031G,
PVC(켈)(30m)-호홍 [60폭],1,117720,미매칭,KEL-060,켈 30M 호홍 (후보),
C4 엠보UV 무광(200g) [127폭],1,116600,미매칭,JG-C4-P90,C4 엠보UV 무광(200g) 90폭 (후보),
수성잉크 C(개별박스),1,115200,미매칭,,,
수성잉크 LM(개별박스),1,115200,미매칭,,,
수성잉크 M(개별박스),1,115200,미매칭,,,
솔벤 현수막-TPM [110폭],1,113400,미매칭,SV-BANNER,솔벤 현수막 (후보),
양면 테이프(판형) [1T],1,113000,미매칭,,,
실리콘 [백색],2,112500,미매칭,SGM-SIL,실리콘 (후보),
SPM011M [127폭],1,112200,정확(코드),SPM011M,무광시트 SPM011M,
고무자석시트-차량용(0.8T) [100폭/10m],1,110000,미매칭,MAG-060,고무자석시트 (후보),
스카시10T-백색 [3*6],2,109300,미매칭,UV-SKS-10T-W,UV 스카시 10T 백색 (후보),
까치발 [800mm],1,108000,미매칭,ACC-029-BK,까치발 흑색 (후보),
수성잉크 LC,1,108000,미매칭,,,
수성잉크 LM,1,108000,미매칭,,,
후판 [90cm],1,108000,미매칭,,,
후판 [170cm],1,106250,미매칭,,,
패트배너(30m)-호홍 [90폭],1,105600,미매칭,PAT-060,패트배너 30M 호홍 (후보),
유광코팅지 일반(45m/180g) [127폭],1,105000,미매칭,HJ-YGILB-P60,유광코팅지 일반(45m/180g) 60폭 (후보),
채널 지지대,1,105000,미매칭,SGM-CSP,채널 지지대 (후보),
원형족자봉 [21Ø],1,104000,미매칭,,,
C4 엠보UV 무광(200g) [90폭],1,103400,미매칭,JG-C4-P90,C4 엠보UV 무광(200g) 90폭 (후보),
수성잉크 C(개별포장),1,103200,미매칭,,,
수성잉크 K(개별포장),1,103200,미매칭,,,
수성잉크 LC(개별포장),1,103200,미매칭,,,
수성잉크 LM(개별포장),1,103200,미매칭,,,
수성잉크 M(개별포장),1,103200,미매칭,,,
수성잉크 Y(개별포장),1,103200,미매칭,,,
스카시30T-검정 [3*6],1,100650,미매칭,UV-SKS-30T-B,UV 스카시 30T 검정 (후보),
사각족자봉 마개 [크롬],1,100000,미매칭,,,
수성잉크 LC-peb,1,96000,미매칭,,,
수성잉크 LM-peb,1,96000,미매칭,,,
채널용 입체바 [연회색/80mm*3m],1,96000,미매칭,,,
투광기 파이프-ㅡ자형/백색 [700mm],1,96000,미매칭,,,
까치발 [600mm],1,95700,미매칭,ACC-029-BK,까치발 흑색 (후보),
수성잉크 C [5리터],1,95000,미매칭,,,
수성잉크 M [5리터],1,95000,미매칭,,,
수성잉크 Y [5리터],1,95000,미매칭,,,
자이언트 폴SET(대) [6m/120*400],1,95000,미매칭,,,
채널 지지대 [72mm],1,95000,미매칭,SGM-CSP,채널 지지대 (후보),
울트라보조시트 [100폭/50m/75g],1,93240,미매칭,,,
SPM011M [105폭],1,92700,정확(코드),SPM011M,무광시트 SPM011M,
비조명후렉스 [100],1,90000,미매칭,SV-FLEXN,솔벤 비조명후렉스 (후보),
패트배너(30m)-잉크테크 [152폭],1,89000,미매칭,,,
수성 백릿-프라임 [127폭],1,87000,미매칭,AQ-BKLT,수성 백릿 (후보),
채널용 캡바 [녹색/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [밤색/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [연청색/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [적색/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [진핑크/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [진회색/25mm*3m],1,82000,미매칭,,,
채널용 캡바 [황색/25mm*3m],1,82000,미매칭,,,
후판 [130cm],1,81250,미매칭,,,
잉크(CMY) [3리터],1,81000,미매칭,,,
울트라 칼라시트-(내부용) SC-2701 [100폭/흰색/무광],1,80500,미매칭,,,
까치발 [400mm],1,79800,미매칭,ACC-029-BK,까치발 흑색 (후보),
돼지표본드 [3kg],1,78900,미매칭,SGM-PBOND,돼지표본드 (후보),
까치발 [1400mm],1,78000,미매칭,ACC-029-BK,까치발 흑색 (후보),
비점착합성지(30m)-호홍 [127폭],1,77000,미매칭,SYN-060,합성지 30M 호홍 (후보),
채널바 옆마구리 [200mm*100mm/백색],2,76500,미매칭,SGM-CSM-R150-BK,채널바 옆마구리 150mm 흑색 (후보),
45도 보강대 [1box-1000ea],1,75000,미매칭,,,
발통-700 [1box=5ea],1,73750,미매칭,SGM-FOOT-F700,발통 700mm (후보),
직결피스 [1box-12000ea],1,73200,미매칭,SGM-SCREW,직결피스 (후보),
