매입품목명,라인수,금액,상태,제안코드,최종지정코드
PVC(켈) 그레이-프라임 [90폭],1,410000,미매칭,,,
수성잉크 K [20L],2,400000,후보(잉크→RM),RM,,
솔벤 현수막-TPM(고급형) [152폭],1,396000,후보(솔벤→SV),SV,,
알마이트2T-검정 [3*6],1,396000,미매칭,,,
솔벤용 코팅지-50m [127폭],1,394000,후보(솔벤→SV),SV,,
타카핀 [6mm],1,390000,미매칭,,,
알루미늄판-백색 [3*6],2,384000,미매칭,,,
트러스바 날개 [검정],1,380400,미매칭,,,
알마이트2T,1,380000,미매칭,,,
알마이트2T [1220*2420],1,380000,미매칭,,,
알마이트2T(백색),1,380000,미매칭,,,
19각 파이프,4,372000,미매칭,,,
솔벤 텐트천(300D) [200폭],1,369000,후보(솔벤→SV),SV,,
아일렛(하도매) [24호/은색],2,366000,미매칭,,,
솔벤 텐트천(300D) [250폭],1,364200,후보(솔벤→SV),SV,,
큐방-원터치 [40￠/1봉(250개)],2,350000,미매칭,,,
실외용 철제배너-TSO(브랏켓형) [60*180],2,342000,미매칭,,,
광확산PC1.8T [4*8],1,335000,미매칭,,,
채널용 입체바 [백색/100mm*3m],1,320000,미매칭,,,
LED투광기-백색/백색 [35W],1,315000,미매칭,,,
포인트원형돌출 [500Φ],2,308000,미매칭,,,
솔벤 현수막-TPM [60폭],1,305500,후보(솔벤→SV),SV,,
깃발천-S [70폭],2,302400,미매칭,,,
사각족자봉,2,300000,미매칭,,,
채널 보강대,1,294000,미매칭,,,
솔밴매쉬-배너 [127폭],2,291607,미매칭,,,
합성지-프라임 [90폭],1,290000,미매칭,,,
채널용 입체바 [녹색/80mm*3m],1,288000,미매칭,,,
채널용 입체바 [주황색/80mm*3m],2,288000,미매칭,,,
채널용 입체바 [진청색/80mm*3m],1,288000,미매칭,,,
채널용 입체바 [황색/80mm*3m],2,288000,미매칭,,,
스텐원형돌출 [500Φ],2,285000,미매칭,,,
부직포 [180폭],2,282000,미매칭,,,
LM5400(보급형) [137폭],1,279830,미매칭,,,
솔벤매쉬-배너 [60폭/50m],1,279400,후보(솔벤→SV),SV,,
E4 엠보 무광(45m/200g) [90폭],1,273000,미매칭,,,
외부용 SMPS(방수) [200wt],1,270000,미매칭,,,
무광 코팅지 자동용(45m/120g)-호홍 [90폭],2,268160,미매칭,,,
윈드배너 물통형-SET(소) [76*180],3,266000,미매칭,,,
솔벤 현수막-TPM [127폭],1,264000,후보(솔벤→SV),SV,,
미러천 [90폭],1,262500,미매칭,,,
E4 엠보 무광(45m/200g) [152폭],1,259600,미매칭,,,
부직포 [150폭],2,257400,미매칭,,,
부직포-S [60폭],2,255000,미매칭,,,
수성잉크 C [5L],2,250000,후보(잉크→RM),RM,,
수성잉크 M [5L],2,250000,후보(잉크→RM),RM,,
수성잉크 Y [5L],2,250000,후보(잉크→RM),RM,,
채널용 캡바 [진청색/25mm*3m],3,246000,미매칭,,,
솔벤 현수막 [152폭],1,244200,후보(솔벤→SV),SV,,
무광코팅지 일반엠보(45m/180g) [90폭],1,243000,미매칭,,,
