매입품목명,라인수,금액,상태,제안코드,최종지정
채널바 옆마구리 [300mm*100mm/검정],1,56000,미상,?,
스카시10T-검정,1,54650,미상,?,
고무자석시트-일반(0.8T) [60폭/10m],1,53000,미상,?,
까치발 [700mm],1,50550,미상,?,
채널바 옆마구리 [250mm*100mm/백색],1,49000,미상,?,
투광기 파이프-ㅡ자형/검정 [700mm],1,48000,미상,?,
인두기(열재단) [나무손잡이],1,45000,미상,?,
채널바 옆마구리 [200mm*100mm/검정],1,45000,미상,?,
실리콘 [투명],1,42500,미상,?,
채널바 옆마구리 [400mm*100mm/검정],1,38500,미상,?,
사각족자봉 마개 [그레이],1,35000,미상,?,
원형나무 [70폭(20mm)],2,31000,미상,?,
폼보드 [4*8(5T)],1,28500,미상,?,
하도매 기계(손기계) [수동],1,28000,미상,?,
잉크(K) [1리터],1,27000,미상,?,
채널바 옆마구리 [200mm*100mm/연회색],1,22500,미상,?,
채널바 옆마구리 [150mm*100mm/백색],1,20500,미상,?,
채널바 옆마구리 [150mm*100mm/연회색],1,20500,미상,?,
하도매 자동몰드 [24호(12파이)],1,20000,미상,?,
자동몰드 [9호],1,19000,미상,?,
사각족자봉 [94cm],1,17000,미상,?,
원형족자봉 마개/은색 [16Ø],1,10800,미상,?,
채널바 옆마구리/미사용 반품 [200mm*113mm/백색],1,-49000,미상,?,
알마이트2T-검정,1,-990000,미상,?,
무광 코팅지 자동용(61m/120g)-호홍 [127폭],6,6672700,확실,MCP120-127,
상바,5,5040000,확실,SGM-SB,
외부용 SMPS(방수) [300wt],3,1920000,확실,SGM-SMPS-W300,
무광 코팅지 자동용(45m/180g)-호홍 [127폭],5,1782300,확실,MCP180-127,
무광코팅지 일반엠보(45m/180g) [127폭],1,1470000,확실,MCP180-127,
무광 코팅지 자동용(61m/120g)-호홍 [60폭],3,1404400,확실,MCP120-060,
외부용 SMPS(방수) [500wt],2,540000,확실,SGM-SMPS-W500,
외부용 SMPS(방수) [400wt],2,530000,확실,SGM-SMPS-W400,
무광코팅지 일반엠보(45m/180g) [60폭],1,510000,확실,MCP180-060,
무광 코팅지 자동용(45m/180g)-호홍 [90폭],2,430000,확실,MCP180-090,
외부용 SMPS(방수) [200wt],1,270000,확실,SGM-SMPS-W200,
무광 코팅지 자동용(45m/120g)-호홍 [90폭],2,268160,확실,MCP120-090,
무광코팅지 일반엠보(45m/180g) [90폭],1,243000,확실,MCP180-090,
무광 코팅지 자동용(45m/120g)-호홍 [90폭(교환)],1,0,확실,MCP120-090,
무광 코팅지 자동용(45m/180g)-호홍 [90폭(반품)],1,0,확실,MCP180-090,
EP-시리즈 전사(피더기 포함) [EP1852],1,11000000,기타,NULL(장비),
실외배너 물통SET(복배너) [60*180],2,3535000,기타,NULL(완제품),
실내배너 일자형(W) [60*180],2,3330000,기타,NULL(완제품),
실외용 철제배너-TSO(브랏켓형) [60*180],2,342000,기타,NULL(완제품),
실내용 철제배너-TS [50*150],1,176000,기타,NULL(완제품),
경동화물,2,62000,기타,NULL(화물),
대신화물,1,12000,기타,NULL(화물),
LED 3구(백색) [1w],5,2450000,애매,LED?,
조도향상시트(LDJ90DF) [1220mm],1,1737000,애매,?,
E4 엠보 무광(45m/200g) [127폭],1,1582500,애매,HJ-*EMB-P?,
트러스바 [400mm*7m/검정],2,1455000,애매,SGM-?,
5mm볼로프,1,1240000,애매,ACC-?,
트러스바 [200mm*7m/백색],2,850000,애매,SGM-?,
트러스바 [300mm*7m/검정],1,721200,애매,SGM-?,
트러스바 [300mm*7m/연회색],1,721200,애매,SGM-?,
판형 삼각접착고리 [12Ø],2,495000,애매,ACC-?,
LED 2P 전선 [100m],2,446000,애매,LED?,
E4 엠보 무광(45m/200g) [60폭],1,427000,애매,HJ-*EMB-P?,
판형 삼각접착고리 [무펀치],2,420000,애매,ACC-?,
트러스바 날개 [검정],1,380400,애매,SGM-?,
LED투광기-백색/백색 [35W],1,315000,애매,LED?,
E4 엠보 무광(45m/200g) [90폭],1,273000,애매,HJ-*EMB-P?,
E4 엠보 무광(45m/200g) [152폭],1,259600,애매,HJ-*EMB-P?,
3.5mm재단로프 [1마대800개/총200m],2,210000,애매,ACC-?,
LED투광기-검정색/백색 [35W],1,157500,애매,LED?,
LED투광기-백색/웜 [35W],1,157500,애매,LED?,
트러스바 [150mm*7m/연회색],1,126800,애매,SGM-?,
C4 엠보UV 무광(200g) [127폭],1,116600,애매,HJ-*EMB-P?,
유광코팅지 일반(45m/180g) [127폭],1,105000,애매,HJ-YG*-P?,
C4 엠보UV 무광(200g) [90폭],1,103400,애매,HJ-*EMB-P?,
트러스바 보강대 [200mm],1,66000,애매,SGM-?,
앙고리폴대,1,50000,애매,ACC-?,
트러스바 옆마구리 [200mm*113mm/백색],1,49000,애매,SGM-?,
족자봉 고리,1,12500,애매,ACC-?,
원형족자봉(고리가 안들어가요 교환해주세요) [21Ø],1,0,애매,ACC-?,
LED형광등 [28w-양면(돌출)],4,2600000,애매(규격),SGM-LEDF-?,
LED형광등 [20w-단면],2,1700000,애매(규격),SGM-LEDF-?,
LED형광등 [20w-웜(전구색)],2,880000,애매(규격),SGM-LEDF-?,
포맥스-중국산 [4*8(3T)],3,502800,애매(규격),FMX-?,
포맥스-중국산 [4*8(5T)],3,478080,애매(규격),FMX-?,
아일렛(하도매) [24호/은색],2,366000,애매(규격),ACC-045-호-색,
포맥스-중국산 [4*8(10T)],1,210000,애매(규격),FMX-?,
아일렛(하도매) 1마대 [24호/은색],1,183000,애매(규격),ACC-045-호-색,
LED형광등 [28w-양면(60cm)],1,145000,애매(규격),SGM-LEDF-?,
아일렛(하도매) [9호/은색],3,142000,애매(규격),ACC-045-호-색,
아일렛(하도매) [24호/금색],1,61000,애매(규격),ACC-045-호-색,
아일렛(하도매) [5호/은색],2,42000,애매(규격),ACC-045-호-색,
하바,3,2096000,애매(색),SGM-HB-BK/WH,
카바,5,2088000,애매(색),SGM-CB-BK/WH,
하바 [검정],1,524000,애매(색),SGM-HB-BK/WH,
카바 [검정],1,232000,애매(색),SGM-CB-BK/WH,
저밀도 현수막-S [40폭],1,255000,신규(폭),AQD-040,
