품목코드,품목명,카테고리,유형,방식,단위,활성,판매이력라인,원가(avg_unit_cost),참조마진,마진출처,마진IQR,제안가(원가×마진 100원반올림)
TRW-PO,전사 윈드배너 폰지,전사,PRODUCT,AREA,EA,비활성,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
TRWK-ME,전사 워킹배너 매쉬,전사,PRODUCT,AREA,EA,비활성,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
TRWK-ME-F,전사 워킹배너 매쉬 F형,전사,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
TRWK-ME-H,전사 워킹배너 매쉬 H형,전사,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
TRWK-PO,전사 워킹배너 폰지,전사,PRODUCT,AREA,EA,비활성,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
TRWK-PO-F,전사 워킹배너 폰지 F형,전사,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
TRWK-PO-H,전사 워킹배너 폰지 H형,전사,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
ULTRA-BOJO-100,울트라 보조시트,상품,GOODS,FIXED,롤,,1,1864.8,1.67,"카테고리(상품, n=34)",1.47~1.79,3100
ULTRA-CAL-100,울트라 칼라시트,상품,GOODS,FIXED,롤,,1,1610,1.67,"카테고리(상품, n=34)",1.47~1.79,2700
UV-ACR-2T-B,UV 아크릴 2T 검정,UV,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-ACR-2T-C,UV 아크릴 2T 투명,UV,PRODUCT,AREA,EA,,1,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-ACR-2T-W,UV 아크릴 2T 백색,UV,PRODUCT,AREA,EA,,20,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-ACR-3T-B,UV 아크릴 3T 검정,UV,PRODUCT,AREA,EA,,7,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-ACR-3T-C,UV 아크릴 3T 투명,UV,PRODUCT,AREA,EA,,3,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-ACR-3T-W,UV 아크릴 3T 백색,UV,PRODUCT,AREA,EA,,8,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-ACR-5T-B,UV 아크릴 5T 검정,UV,PRODUCT,AREA,EA,,13,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-ACR-5T-C,UV 아크릴 5T 투명,UV,PRODUCT,AREA,EA,,6,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-BKLT,UV 백릿,UV,PRODUCT,AREA,EA,,2,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-FMX-10T-B,UV 포맥스 10T 검정,UV,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-FMX-2T-B,UV 포맥스 2T 검정,UV,PRODUCT,AREA,EA,,3,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-FMX-3T-B,UV 포맥스 3T 검정,UV,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-FMX-5T-B,UV 포맥스 5T 검정,UV,PRODUCT,AREA,EA,,6,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-FMX-8T-B,UV 포맥스 8T 검정,UV,PRODUCT,AREA,EA,,1,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-JJN-06T,UV 자작나무 6t,UV,PRODUCT,AREA,EA,,62,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-JJN-09T,UV 자작나무 9t,UV,PRODUCT,AREA,EA,,8,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
