품목코드,품목명,카테고리,유형,방식,단위,활성,판매이력라인,원가(avg_unit_cost),참조마진,마진출처,마진IQR,제안가(원가×마진 100원반올림)
CLEAR-127,클리어필름,원자재,MATERIAL,FIXED,롤,,3,3800,1.08,"카테고리(원자재, n=82)",1.02~1.16,4100
CLEAR-152,클리어필름,원자재,MATERIAL,FIXED,롤,,0,0,,원가 없음(매입이력 0),,
CLEAR-RM-127,솔벤 클리어필름 리무벌 30M,원자재,PRODUCT,FIXED,EA,,0,142000,1.08,"카테고리(원자재, n=82)",1.02~1.16,153300
CPP-UV,UV무광 코팅지 200g,상품,GOODS,FIXED,yd,,2,0,,원가 없음(매입이력 0),,
ECB-G-090,친환경 현수막원단 GRS,원자재,MATERIAL,FIXED,yd,,0,800,1.08,"카테고리(원자재, n=82)",1.02~1.16,900
ETC-CRANE,크레인 사용료,기타,GOODS,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
ETC-DISC,할인,기타,GOODS,FIXED,EA,,13,77000,1.30,전역 폴백(카테고리 참조 0건뿐),1.07~1.82,99700
ETC-EXP,긴급배송(용달/퀵),기타,GOODS,FIXED,EA,,110,100000,1.30,전역 폴백(카테고리 참조 0건뿐),1.07~1.82,129500
ETC-INSTALL,시공·부착비,기타,PRODUCT,FIXED,EA,,15,0,,원가 없음(매입이력 0),,
ETC-REPAIR,장비수리(A/S),기타,GOODS,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
FLEXD-137,양면배너 후렉스,원자재,MATERIAL,FIXED,롤,,0,5480,1.08,"카테고리(원자재, n=82)",1.02~1.16,5900
FLEXL-090,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,4,1482.18,1.08,"카테고리(원자재, n=82)",1.02~1.16,1600
FLEXL-100,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,1720,1.08,"카테고리(원자재, n=82)",1.02~1.16,1900
FLEXL-110,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,1870,1.08,"카테고리(원자재, n=82)",1.02~1.16,2000
FLEXL-120,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,1920,1.08,"카테고리(원자재, n=82)",1.02~1.16,2100
FLEXL-150,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,2512.5,1.08,"카테고리(원자재, n=82)",1.02~1.16,2700
FLEXL-160,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,2603.64,1.08,"카테고리(원자재, n=82)",1.02~1.16,2800
FLEXL-180,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,2947.5,1.08,"카테고리(원자재, n=82)",1.02~1.16,3200
FLEXL-200,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,3200,1.08,"카테고리(원자재, n=82)",1.02~1.16,3500
FLEXL-220,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,3850,1.08,"카테고리(원자재, n=82)",1.02~1.16,4200
FLEXL-250,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,4238,1.08,"카테고리(원자재, n=82)",1.02~1.16,4600
FLEXL-260,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,4394,1.08,"카테고리(원자재, n=82)",1.02~1.16,4700
FLEXL-320,조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,6160,1.08,"카테고리(원자재, n=82)",1.02~1.16,6700
FLEXN-100,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,1,1666.66,1.08,"카테고리(원자재, n=82)",1.02~1.16,1800
FLEXN-110,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,1760,1.08,"카테고리(원자재, n=82)",1.02~1.16,1900
FLEXN-120,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,1992,1.08,"카테고리(원자재, n=82)",1.02~1.16,2200
FLEXN-150,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,2475,1.08,"카테고리(원자재, n=82)",1.02~1.16,2700
FLEXN-160,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,2800,1.08,"카테고리(원자재, n=82)",1.02~1.16,3000
FLEXN-180,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,2711.26,1.08,"카테고리(원자재, n=82)",1.02~1.16,2900
FLEXN-200,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,3000,1.08,"카테고리(원자재, n=82)",1.02~1.16,3200
FLEXN-220,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,3190,1.08,"카테고리(원자재, n=82)",1.02~1.16,3400
FLEXN-250,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,3930,1.08,"카테고리(원자재, n=82)",1.02~1.16,4200
FLEXN-260,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,4550,1.08,"카테고리(원자재, n=82)",1.02~1.16,4900
FLEXN-320,비조명용 후렉스,원자재,MATERIAL,FIXED,롤,,0,5600,1.08,"카테고리(원자재, n=82)",1.02~1.16,6000
FMX-PMT-10T-36,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-10T-36-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-10T-48,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,1,50716.67,1.08,"카테고리(원자재, n=82)",1.02~1.16,54800
FMX-PMT-10T-48-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-1T-36,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-1T-36-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-1T-48,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,1,0,,원가 없음(매입이력 0),,
FMX-PMT-1T-48-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-2T-36,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,1,5180,1.08,"카테고리(원자재, n=82)",1.02~1.16,5600
FMX-PMT-2T-36-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,7940,1.08,"카테고리(원자재, n=82)",1.02~1.16,8600
FMX-PMT-2T-48,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,1,9320,1.08,"카테고리(원자재, n=82)",1.02~1.16,10100
FMX-PMT-2T-48-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-3T-36,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,9290,1.08,"카테고리(원자재, n=82)",1.02~1.16,10000
FMX-PMT-3T-36-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-3T-48,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,6,14680,1.08,"카테고리(원자재, n=82)",1.02~1.16,15800
FMX-PMT-3T-48-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-5T-36,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,16330,1.08,"카테고리(원자재, n=82)",1.02~1.16,17600
FMX-PMT-5T-36-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-5T-48,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,4,27522.09,1.08,"카테고리(원자재, n=82)",1.02~1.16,29700
FMX-PMT-5T-48-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-8T-36,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-8T-36-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-PMT-8T-48,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,37380,1.08,"카테고리(원자재, n=82)",1.02~1.16,40400
FMX-PMT-8T-48-B,포맥스 포마트(국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-YES-10T-36,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-YES-10T-48,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,35000,1.08,"카테고리(원자재, n=82)",1.02~1.16,37800
FMX-YES-1T-36,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-YES-1T-48,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-YES-2T-36,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,5220,1.08,"카테고리(원자재, n=82)",1.02~1.16,5600
FMX-YES-2T-48,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,8040,1.08,"카테고리(원자재, n=82)",1.02~1.16,8700
FMX-YES-3T-36,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-YES-3T-48,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,13060,1.08,"카테고리(원자재, n=82)",1.02~1.16,14100
FMX-YES-5T-36,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,12490,1.08,"카테고리(원자재, n=82)",1.02~1.16,13500
FMX-YES-5T-48,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,20810,1.08,"카테고리(원자재, n=82)",1.02~1.16,22500
FMX-YES-8T-36,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
FMX-YES-8T-48,포맥스 예스(중국산),원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
GDS-A3M,A3 자석액자(테이프부착),상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
GDS-AIRSIGN,에어간판 완제품,상품,GOODS,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
GDS-CSR,청사초롱,상품,GOODS,FIXED,EA,,4,0,,원가 없음(매입이력 0),,
GDS-EQ-EP1852,EP-시리즈 수성 EP1852,상품,PRODUCT,FIXED,EA,,2,10400000,1.67,"카테고리(상품, n=34)",1.47~1.79,17389200
GDS-EQ-EP1854,OPTIMUM EP1854 (수성),상품,PRODUCT,FIXED,EA,,0,13800000,1.67,"카테고리(상품, n=34)",1.47~1.79,23074200
GDS-EQ-EP3208,OPTIMUM EP3208 (수성),상품,PRODUCT,FIXED,EA,,0,35000000,1.67,"카테고리(상품, n=34)",1.47~1.79,58521500
GDS-EQ-EYEPUNCH,자동 아일렛펀칭기,상품,PRODUCT,FIXED,EA,,0,330000,1.67,"카테고리(상품, n=34)",1.47~1.79,551800
GDS-FB1,국기함 보급형,상품,GOODS,FIXED,EA,,3,0,,원가 없음(매입이력 0),,
GDS-FB2,국기함 중급형,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
GDS-HDMGI,하도매기계(손기계),상품,GOODS,FIXED,EA,,1,28000,1.67,"카테고리(상품, n=34)",1.47~1.79,46800
GDS-INDUGI,인두기(열재단),상품,GOODS,FIXED,EA,,2,45000,1.67,"카테고리(상품, n=34)",1.47~1.79,75200
GDS-INDUKAL,즉열인두기 칼날,상품,GOODS,FIXED,EA,,2,0,,원가 없음(매입이력 0),,
GDS-JASUSET-S135X90,자수깃발 세트(삼발이) 135×90,상품,GOODS,FIXED,EA,,3,0,,원가 없음(매입이력 0),,
GDS-LRF,좌우보필형 액자,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
GDS-LRF-S20X30,좌우보필형 액자 20×30,상품,GOODS,FIXED,EA,,4,9145,1.67,"카테고리(상품, n=34)",1.47~1.79,15300
GDS-LRF-S60X40,좌우보필형 액자 60×40,상품,GOODS,FIXED,EA,,7,17911,1.67,"카테고리(상품, n=34)",1.47~1.79,29900
GDS-OTB-GR,원터치배너 그레이,상품,PRODUCT,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
GDS-ZIP,거리용 지퍼가방,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
GFB-01,그라스화이바,원자재,MATERIAL,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
GITBAL-070,깃발천,원자재,MATERIAL,FIXED,yd,,2,1260,1.08,"카테고리(원자재, n=82)",1.02~1.16,1400
GJG-JASU,근조기 자수 깃발,태극기,PRODUCT,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
GJG-JASU-S110X75,근조기 자수 깃발 110×75,태극기,PRODUCT,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-BADAK,바닥용코팅지(30m),상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-MGAUTO,무광코팅지 자동엠보(45m/120g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
HJ-MGAUTO-P127,무광코팅지 자동엠보(45m/120g) 127폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-MGAUTO-P152,무광코팅지 자동엠보(45m/120g) 152폭,상품,GOODS,FIXED,EA,,0,73300,1.67,"카테고리(상품, n=34)",1.47~1.79,122600
HJ-MGAUTO-P60,무광코팅지 자동엠보(45m/120g) 60폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-MGAUTO-P90,무광코팅지 자동엠보(45m/120g) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-MGAUTOB,무광코팅지 자동엠보 보급형(61m/120g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
HJ-MGAUTOB-P90,무광코팅지 자동엠보 보급형(61m/120g) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-MGILBO,무광코팅지 일반엠보(45m/180g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
HJ-MGILBO-P127,무광코팅지 일반엠보(45m/180g) 127폭,상품,GOODS,FIXED,EA,,1,98000,1.67,"카테고리(상품, n=34)",1.47~1.79,163900
HJ-MGILBO-P152,무광코팅지 일반엠보(45m/180g) 152폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-MGILBO-P90,무광코팅지 일반엠보(45m/180g) 90폭,상품,GOODS,FIXED,EA,,0,81000,1.67,"카테고리(상품, n=34)",1.47~1.79,135400
HJ-UVEMB,UV엠보(45m/180g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
HJ-UVEMB-P127,UV엠보(45m/180g) 127폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-UVEMB-P152,UV엠보(45m/180g) 152폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-UVEMB-P90,UV엠보(45m/180g) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-UVYG,UV유광(45m/180g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
HJ-UVYG-P127,UV유광(45m/180g) 127폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-UVYG-P152,UV유광(45m/180g) 152폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-UVYG-P90,UV유광(45m/180g) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-YGAUTO,유광코팅지 자동(45m/120g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
HJ-YGAUTO-P127,유광코팅지 자동(45m/120g) 127폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-YGAUTO-P152,유광코팅지 자동(45m/120g) 152폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-YGAUTO-P60,유광코팅지 자동(45m/120g) 60폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-YGAUTO-P90,유광코팅지 자동(45m/120g) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-YGILB,유광코팅지 일반(45m/180g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
HJ-YGILB-P127,유광코팅지 일반(45m/180g) 127폭,상품,GOODS,FIXED,EA,,0,105000,1.67,"카테고리(상품, n=34)",1.47~1.79,175600
HJ-YGILB-P152,유광코팅지 일반(45m/180g) 152폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-YGILB-P60,유광코팅지 일반(45m/180g) 60폭,상품,GOODS,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
HJ-YGILB-P90,유광코팅지 일반(45m/180g) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
HJ-YMSIDE,양면코팅지(30m),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
HJ-YMSIDE-P127,양면코팅지(30m) 127폭,상품,GOODS,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
HJ-YMSIDE50-P127,양면코팅지(50m) 127폭,원자재,PRODUCT,FIXED,EA,,3,0,,원가 없음(매입이력 0),,
HTF-095,열전사원단,원자재,MATERIAL,FIXED,yd,,0,0,,원가 없음(매입이력 0),,
JG-A26,A26 양면코팅지(30m),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-A26-P127,A26 양면코팅지(30m) 127폭,상품,GOODS,FIXED,EA,,0,84562.5,1.67,"카테고리(상품, n=34)",1.47~1.79,141400
JG-A26-P90,A26 양면코팅지(30m) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-BONYEOM,정기 본염 깃발,태극기,PRODUCT,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-BONYEOM-S120X80,정기 본염 깃발 120×80,태극기,PRODUCT,FIXED,EA,,4,0,,원가 없음(매입이력 0),,
JG-BYADAK,바닥용 코팅지,상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-C4,C4 엠보UV 무광(200g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-C4-P127,C4 엠보UV 무광(200g) 127폭,상품,GOODS,FIXED,EA,,0,116600,1.67,"카테고리(상품, n=34)",1.47~1.79,195000
JG-C4-P152,C4 엠보UV 무광(200g) 152폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-E16,E16 완전무지(200g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-E16-P127,E16 완전무지(200g) 127폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-E16-P90,E16 완전무지(200g) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-E2,E2 캔버스(200g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-E2-P127,E2 캔버스(200g) 127폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-E2-P60,E2 캔버스(200g) 60폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-E26T,E26T 유광(45m/200g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-E26T-P127,E26T 유광(45m/200g) 127폭,상품,GOODS,FIXED,EA,,0,115500,1.67,"카테고리(상품, n=34)",1.47~1.79,193100
JG-E26T-P152,E26T 유광(45m/200g) 152폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-E26T-P60,E26T 유광(45m/200g) 60폭,상품,GOODS,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
JG-E26T-P90,E26T 유광(45m/200g) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-E4,E4 엠보 무광(45m/200g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-E4-P127,E4 엠보 무광(45m/200g) 127폭,상품,GOODS,FIXED,EA,,2,105500,1.67,"카테고리(상품, n=34)",1.47~1.79,176400
JG-E4-P152,E4 엠보 무광(45m/200g) 152폭,상품,GOODS,FIXED,EA,,0,129800,1.67,"카테고리(상품, n=34)",1.47~1.79,217000
JG-E4-P90,E4 엠보 무광(45m/200g) 90폭,상품,GOODS,FIXED,EA,,0,91000,1.67,"카테고리(상품, n=34)",1.47~1.79,152200
JG-JASU,정기 자수 깃발,태극기,PRODUCT,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-JASU-S120X80,정기 자수 깃발 120×80,태극기,PRODUCT,FIXED,EA,,1,12598.56,2.54,"카테고리(태극기, n=25)",2.31~3.32,32000
JG-JASU-S135X90,정기 자수 깃발 135×90,태극기,PRODUCT,FIXED,EA,,9,14173.3,2.54,"카테고리(태극기, n=25)",2.31~3.32,36000
JG-JD45,자동용 코팅지 엠보(45m/120g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-JD45-P152,자동용 코팅지 엠보(45m/120g) 152폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-JD61,자동용 코팅지 엠보(61m/120g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-JD61-P127,자동용 코팅지 엠보(61m/120g) 127폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-JD61-P90,자동용 코팅지 엠보(61m/120g) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-NJ4,NJ4 엠보 무광(45m/180g),상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
JG-NJ4-P127,NJ4 엠보 무광(45m/180g) 127폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-NJ4-P152,NJ4 엠보 무광(45m/180g) 152폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-NJ4-P60,NJ4 엠보 무광(45m/180g) 60폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-NJ4-P90,NJ4 엠보 무광(45m/180g) 90폭,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JG-WBOARD,화이트보드코팅지,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
JJN-06T,자작나무,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
JJN-09T,자작나무,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
JJN-12T,자작나무,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
JJN-15T,자작나무,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
JJN-18T,자작나무,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
JMS-GEN,조명시트,원자재,MATERIAL,FIXED,yd,,0,0,,원가 없음(매입이력 0),,
KEL-060,켈 30M 호홍,원자재,MATERIAL,FIXED,롤,,1,981,1.08,"카테고리(원자재, n=82)",1.02~1.16,1100
KEL-AN-060,PVC(켈)(30m)-아누코,원자재,MATERIAL,FIXED,yd,비활성,0,0,,원가 없음(매입이력 0),,
KEL-AN-127,PVC(켈)(30m)-아누코,원자재,MATERIAL,FIXED,yd,비활성,0,0,,원가 없음(매입이력 0),,
KEL-AN-152,PVC(켈)(30m)-아누코,원자재,MATERIAL,FIXED,yd,비활성,0,0,,원가 없음(매입이력 0),,
KEL-IT-090,켈 30M 잉크테크,원자재,MATERIAL,FIXED,롤,,0,0,,원가 없음(매입이력 0),,
KEL-IT-127,켈 30M 잉크테크,원자재,MATERIAL,FIXED,롤,,0,2953.889,1.08,"카테고리(원자재, n=82)",1.02~1.16,3200
KEL-SV50-127,무광 솔벤 켈 50M,원자재,PRODUCT,FIXED,EA,,0,76750,1.08,"카테고리(원자재, n=82)",1.02~1.16,82900
KELG-060,켈그레이 30M 호홍,원자재,MATERIAL,FIXED,롤,,0,1075,1.08,"카테고리(원자재, n=82)",1.02~1.16,1200
KELG-152,켈그레이 30M 호홍,원자재,MATERIAL,FIXED,롤,,0,2383.3333,1.08,"카테고리(원자재, n=82)",1.02~1.16,2600
KELG-AN-060,PVC(켈) 그레이(30m)-아누코,원자재,MATERIAL,FIXED,yd,비활성,0,0,,원가 없음(매입이력 0),,
KELG-AN-090,PVC(켈) 그레이(30m)-아누코,원자재,MATERIAL,FIXED,yd,비활성,0,0,,원가 없음(매입이력 0),,
KELG-AN-127,PVC(켈) 그레이(30m)-아누코,원자재,MATERIAL,FIXED,yd,비활성,0,0,,원가 없음(매입이력 0),,
KELG-AN-152,PVC(켈) 그레이(30m)-아누코,원자재,MATERIAL,FIXED,yd,비활성,0,0,,원가 없음(매입이력 0),,
KELG-IT-090,켈그레이 30M 잉크테크,원자재,MATERIAL,FIXED,롤,,0,0,,원가 없음(매입이력 0),,
KELG-IT-127,켈그레이 30M 잉크테크,원자재,MATERIAL,FIXED,롤,,0,0,,원가 없음(매입이력 0),,
KMT-IRON-BLADE,즉열인두기 칼날 TS-A1,원자재,PRODUCT,FIXED,EA,,0,19000,1.08,"카테고리(원자재, n=82)",1.02~1.16,20500
LB9534NH-122,농협 시트 LB9534NH(녹색),원자재,MATERIAL,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
LB9661NH-122,농협 시트 LB9661NH(청색),원자재,MATERIAL,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
LC6772G-122,리무브시트 LC6772G,원자재,MATERIAL,FIXED,롤,,0,3519.8,1.08,"카테고리(원자재, n=82)",1.02~1.16,3800
LDJ90DF-122,조도향상시트 LDJ90DF,원자재,MATERIAL,FIXED,롤,,0,16725,1.08,"카테고리(원자재, n=82)",1.02~1.16,18100
LGS-CAL-122,LG 캘시트,원자재,PRODUCT,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
LGS-LIGHT-122,LG 조명용시트,원자재,PRODUCT,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
LGSHT-122,켈시트 LA9423NH,상품,GOODS,FIXED,롤,,0,11000,1.67,"카테고리(상품, n=34)",1.47~1.79,18400
MAG-060,고무자석시트,원자재,MATERIAL,FIXED,롤,,1,5300,1.08,"카테고리(원자재, n=82)",1.02~1.16,5700
MAG-100,고무자석시트,원자재,MATERIAL,FIXED,롤,,1,11000,1.08,"카테고리(원자재, n=82)",1.02~1.16,11900
MBG-6,민방위기 6호,태극기,PRODUCT,FIXED,EA,,1,1556,2.54,"카테고리(태극기, n=25)",2.31~3.32,4000
MBG-7,민방위기 7호,태극기,PRODUCT,FIXED,EA,,4,1250.06,2.54,"카테고리(태극기, n=25)",2.31~3.32,3200
MBG-7-1,민방위기 7호-1,태극기,PRODUCT,FIXED,EA,,4,975,2.54,"카테고리(태극기, n=25)",2.31~3.32,2500
MBG-8,민방위기 8호,태극기,PRODUCT,FIXED,EA,,4,574,2.54,"카테고리(태극기, n=25)",2.31~3.32,1500
MBG-GDSET-7-1-R150-3,민방위기 깃대조립 SET 7호-1 R150 3구,태극기,PRODUCT,FIXED,EA,,2,0,,원가 없음(매입이력 0),,
MBG-GDSET-8-R130-2,민방위기 깃대조립 SET 8호 R130 2구,태극기,PRODUCT,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
