품목코드	품목명	규격	폭mm	단위	매입수량	매입액	발주건	최근발주	공급처	용도(기입)
AQ1-060	수성 현수막원단 1코팅	60cm	600	yd	1175	423000	1	2026-06-02	운산직물	
SK-929	LG시트-LT4057(122폭)			EA	2	421740	2	2026-05-15	(주)서울경금속	
SGM-TRB-R250-JD	트러스바 250mm 옥색	250mm		EA	4	418000	2	2026-03-03	(주)엘이디포유	
SK-1921	LG-DPM1370mmSPC031G			EA	3	412580	2	2026-06-11	(주)서울경금속	
SK-932	LG시트-LT4060(122폭)			EA	2	406700	2	2026-05-18	(주)서울경금속	
SK-1259	HD-013카바(검정)			EA	40	406000	2	2026-04-13	(주)서울경금속	
SK-472	알마이트2T3*6검정			EA	20	396000	1	2026-06-02	(주)서울경금속	
SK-26650	LG시트-LT403B(122폭)			EA	2	392200	1	2026-02-24	(주)서울경금속	
KMT-STAND1700	출력물받침대	1700		EA	8	390000	1	2026-04-10	케이엠테크	
SGM-KPB-NB	캡바 진청색	25mm*3m		EA	200	388000	5	2026-06-05	(주)엘이디포유	
SK-0057	예스후렉스-NSP220폭(50M)			EA	2	385000	1	2026-05-18	(주)서울경금속	
SVT-200	솔벤 텐트천	200cm		m	120	384000	1	2026-02-04	(주)엘이디포유	
SK-1518	알미늄판3*6백색			EA	20	384000	2	2026-06-08	(주)서울경금속	
SK-2816	예스포맥스5T3*6백색			EA	30	374700	1	2026-04-13	(주)서울경금속	
SK-2272	포마트포맥스3T3*6백색			EA	40	371600	3	2026-06-29	(주)서울경금속	
SK-26801	예스후렉스-(그레이비조명용)150폭-50M			EA	3	371250	2	2026-05-11	(주)서울경금속	
SGM-IPB	입체바	80mm*3m		EA	100	370000	1	2026-01-09	(주)엘이디포유	
SK-26105	LG시트-LC6770(이형지개선품)			EA	2	364220	2	2026-06-08	(주)서울경금속	
SGM-KPB-GN	캡바 녹색	25mm*3m		EA	200	362000	5	2026-06-12	(주)엘이디포유	
SVB-300	솔벤 현수막	300cm		yd	1	358400	1	2026-02-04	(주)엘이디포유	
SK-1357	까치발-1200			EA	75	350250	5	2026-04-20	(주)서울경금속	
SGM-TRW-BK	트러스바 날개 흑색			EA	12	349200	1	2026-04-03	(주)엘이디포유	
SK-409	삼성타이머30A			EA	10	340000	1	2026-03-16	(주)서울경금속	
SK-1832	LG-DPM1370mmSPE032G			EA	2	339300	1	2026-06-22	(주)서울경금속	
SVT-160	솔벤 텐트천	160cm		m	131	335360	1	2026-02-04	(주)엘이디포유	
SK-27097	유니온(UNION)-SMPS(고급형)-300W			EA	15	329100	1	2026-03-03	(주)서울경금속	
SK-1468	까치발-1500			EA	60	325800	4	2026-04-13	(주)서울경금속	
SGM-TRB-R200-BK	트러스바 200mm 흑색	200mm		EA	4	312000	1	2026-04-03	(주)엘이디포유	
SGM-IPB100-WH	입체바 1.0T 100mm 백색	1.0T 100mm*3m		EA	40	308000	1	2026-04-10	(주)엘이디포유	
SGM-TRB-R300-JD	트러스바 300mm 옥색	300mm		EA	2	300000	1	2026-03-03	(주)엘이디포유	
KMT-ENCSTRIP	(공용) 엔코더스트립	180dpi 3.6M		EA	4	300000	1	2026-03-03	케이엠테크	
SGM-IPB-DP	입체바 진핑크	80mm*3m		EA	60	284000	2	2026-06-01	(주)엘이디포유	
SGM-IPB-OR	입체바 주황색	80mm*3m		EA	60	284000	2	2026-06-01	(주)엘이디포유	
SGM-IPB-YL	입체바 황색	80mm*3m		EA	60	284000	2	2026-06-12	(주)엘이디포유	
SK-26807	예스후렉스-(그레이비조명용)320폭-50M			EA	1	280000	1	2026-05-13	(주)서울경금속	
SK-1942	LG-ONEWAY1370mmLM54000			EA	1	279830	1	2026-06-19	(주)서울경금속	
SK-2256	포마트포맥스2T4*8백색			EA	30	279600	1	2026-02-23	(주)서울경금속	
SK-1709	LG-DPM1520mmSPP031G			EA	2	272680	2	2026-05-27	(주)서울경금속	
SK-2445	실리콘(백색)			EA	175	272500	4	2026-06-29	(주)서울경금속	
SK-1971	LG-DPM1370mmSPM022G			EA	2	268730	2	2026-06-22	(주)서울경금속	
PETB-127	PET배너	127cm 롤30M		롤	5	247000	1	2026-05-22	(주)엘이디포유	
SGM-ROPE-5	현수막끈 5Φ(PP로프)	5Φ PP로프		EA	12	246000	2	2026-04-17	(주)엘이디포유	
LX-SPM011G	LX시트 DPM(SP) SPM011G 백색	1370폭 롤50M		롤	2	244200	1	2026-04-14	(주)엘이디포유	
SGM-LEDP50-WW	LED투광기 50W 백색/백색	50W		EA	20	240000	1	2026-03-27	(주)엘이디포유	
SK-1923	LG-DPM914mmSPM011G			EA	3	236940	1	2026-06-17	(주)서울경금속	
